playername,date,matchtype,opposition,tosswin,bowlingfirst,battingfirst,hometeam,lastmatches performance,last3matchesperformance,last6matchperformance,weather,pitch,forminornot,order(batting\bowlingorder),performance(itislabel for batsmanruns bowler wickets),end
imadwasim,19\july\15,odi,srilanka,pakistan,srilanka,pakistan,srilanka,good,bad,bad,clear,dry,in,batting in middle  bowling in middle and last order,2wickets,
,22\july\15,odi,srilanka,srilanka,pakistan,srilanka,srilanka,average,good,bad,rainy,wet,in,batting in middle bowling in middle and last order,1wickets,
,26\july\15,odi,srilanka,srilanka,pakistan,srilanka,srilanka,average,good,good,rainy,wet,not,batting in middle bowling in middle and last order,1wicket,
,1\oct\15,odi,zimbabave,zimbabave,zimbabave,pakistan,zimbabave,average,bad,average,cloudly,medium,in,batting in middle bowling in middle and last order,1wickets,
,5\oct\2015,odi,zimbabave,pakistan,pakistan,zimbabave,zimbabave,average,good,average,cloudly,medium,in,batting in middle bowling in middle and last order,3wicket,
,25\jan\16,odi,newzealand,pakistan,pakistan,newzealand,newzealand,good,average,average,humidity,medium,not,batting in middle bowling in middle and last order,0wicket,
,18\aug\16,odi,ireland,ireland,ireland,pakistan,ireland,bad,average,average,rainy,wet,in,batting in middle bowling in middle and last order,5wicket,
,24\aug\16,odi,england,pakistan,england,pakistan,england,good,average,average,rainy,wet,not,batting in middle bowling in middle and last order,0wicket,
,27\aug\16,odi,england,pakistan,england,pakistan,england,bad,good,average,clear,dry,in,batting in middle bowling in middle and last order,2wicket,
,1\sep\16,odi,england,pakistan,england,pakistan,england,good,average,bad,clear,dry,in,batting in middle bowling in middle and last order,1wickets,
,4\sep\16,odi,england,pakistan,pakistan,england,england,average,bad,average,clear,dry,in,batting in middle bowling in middle and last order,1wickets,
,30\sep\16,odi,westindies,westindies,pakistan,westindies,westindies,average,average,good,clear,medium,in,batting in middle bowling in middle and last order,1wickets,
,2\oct\16,odi,westindies,pakistan,westindies,pakistan,westindies,average,average,bad,rainy,wet,in,batting in middle bowling in middle and last order,1wickets,
,5\oct\16,odi,westindies,pakistan,westindies,pakistan,westindies,average,good,average,rainy,wet,in,batting in middle bowling in middle and last order,1wickets,
,13\jan\17,odi,austrailia,austrailia,pakistan,austrailia,austrailia,average,bad,good,clody,medium,in,batting in middle bowling in middle and last order,2wicket,
,15\jan\17,odi,austrailia,austrailia,pakistan,austrailia,austrailia,good,average,average,cloudy,medium,in,batting in middle bowling in middle and last order,2wickets,
,19\jan\17,odi,austrailia,austrailia,austrailia,pakistan,austrailia,good,average,average,clear,dry,not,batting in middle bowling in middle and last order,0wicket,
,22\jan\17,odi,austrailia,austrailia,pakistan,austrailia,austrailia,bad,average,bad,cloudy,medium,not,batting in middle bowling in middle and last order,0wicket,
,7\apr\17,odi,westindies,westindies,westindies,pakistan,westindies,bad,bad,good,rainy,wet,not,batting in middle bowling in middle and last order,0wicket,
,9\apr\17,odi,westindies,westindies,westindies,pakistan,westindies,bad,bad,average,rainy,wet,in,batting in middle bowling in middle and last order,0wickets,
,11\apr\17,odi,westindies,westindies,pakistan,westindies,westindies,bad,average,average,cloudy,medium,in,batting in middle bowling in middle and last order,1wickets,
,4\jun\17,odi,india,pakistan,pakistan,india,iccchampiontrophy,average,good,bad,cloudy,dry,not,batting in middle bowling in middle and last order,1wicket,
,7\jun\17,odi,southafrica,southafrica,pakistan,southafrica,iccchampiontrophy,average,average,average,rainy,wet,in,batting in middle bowling in middle and last order,2wicket,
,12\jun\17,odi,srilanka,pakistan,pakistan,srilanka,iccchampiontrophy,good,bad,average,clear,dry,not,batting in middle bowling in middle and last order,0wicket,
,14\jun\17,odi,england,pakistan,pakistan,england,iccchampiontrophy,bad,good,average,clear,dry,not,batting in middle bowling in middle and last order,0wicket,
,18\jun\17,odi,india,india,india,pakistan,iccchampiontrophy,bad,average,good,cloudy,medium,in,batting in middle bowling in middle and last order,0wickets,
,13\oct\17,odi,srilanka,srilanka,srilanka,pakistan,pakistan,bad,average,bad,clear,medium,not,batting in middle bowling in middle and last order,0wicket,
,16\oct\17,odi,srilanka,pakistan,srilanka,pakistan,pakistan,bad,bad,good,cloudy,dry,in,batting in middle bowling in middle and last order,1wickets,
,20\oct\17,odi,srilanka,srilanka,pakistan,srilanka,pakistan,average,average,average,clear,dry,in,batting in middle bowling in middle and last order,2wickets,
,23\oct\17,odi,srilanka,srilanka,pakistan,srilanka,pakistan,good,good,bad,cloudy,medium,not,batting in middle bowling in middle and last order,0wicket,
,7\nov\18,odi,newzealand,newzealand,pakistan,newzealand,newzealand,bad,average,average,clear,dry,in,batting in middle bowling in middle and last order,1wickets,
,9\nov\18,odi,newzealand,newzealand,pakistan,newzealand,newzealand,average,average,average,rainy,wet,not,batting in middle bowling in middle and last order,1wicket,
,19\jan\19,odi,southafrica,southafrica,pakistan,southafrica,southafrica,average,bad,good,clear,dry,not,batting in middle bowling in middle and last order,1wicket,
,25\jan\19,odi,southafrica,pakistan,southafrica,pakistan,southafrica,average,average,good,cloudy,medium,in,batting in middle bowling in middle and last order,1wickets,
,27\jan\19,odi,southafrica,pakistan,pakistan,southafrica,southafrica,average,good,bad,cloudy,medium,in,batting in middle bowling in middle and last order,1wickets,
,30\jan\19,odi,southafrica,southafrica,southafrica,pakistan,southafrica,average,average,average,clear,dry,not,batting in middle bowling in middle and last order,1wicket,
,22\mar\19,odi,austrailia,pakistan,australia,pakistan,austrailia,average,bad,average,cloudy,medium,in,batting in middle bowling in middle and last order,1wickets,
,24\mar\19,odi,austrailia,pakistan,austrailia,pakistan,austrailia,average,average,average,cloudy,medium,in,batting in middle bowling in middle and last order,1wickets,
,27\mar\19,odi,austrailia,austrailia,pakistan,austrailia,austrailia,average,average,good,clear,dry,in,batting in middle bowling in middle and last order,1wickets,
,29\mar\19,odi,austrailia,pakistan,pakistan,austrailia,austrailia,average,average,good,clear,dry,in,batting in middle bowling in middle and last order,2wicket,
,31\mar\19,odi,austrailia,pakistan,pakistan,austrailia,austrailia,good,bad,average,clear,dry,not,batting in middle bowling in middle and last order,1wicket,
,8\may\19,odi,england,england,england,pakistan,england,average,average,average,rainy,wet,in,batting in middle bowling in middle and last order,1wickets,
,11\may\19,odi,england,pakistan,pakistan,england,england,average,good,average,clear,dry,not,batting in middle bowling in middle and last order,1wicket,
,14\may\19,odi,england,england,england,pakistan,england,average,average,good,clear,dry,in,batting in middle bowling in middle and last orde,1wickets,
,17\may\19,odi,england,england,england,pakistan,england,average,average,average,cloudy,medium,in,batting in middle bowling in middle and last order,2wicket,
,19\may\19,odi,england,england,pakistan,england,england,good,bad,bad,cloudy,medium,in,batting in middle bowling in middle and last order,3wicket,
,31\may\19,odi,westindies,westindies,westindies,pakistan,iccworldcup,good,average,bad,clear,dry,not,batting in middle bowling in middle and last order,1wicket,
,16\jun\19,odi,india,pakistan,pakistan,india,iccworldcup,average,average,good,cloudy,dry,in,batting in middle bowling in middle and last order,1wickets,
,23\jun\19,odi,southafrica,pakistan,southafrica,pakistan,iccworldcup,average,good,average,windy,dry,in,batting in middle bowling in middle and last order,1wickets,
,26\jun\19,odi,newzealand,newzealand,pakistan,newzealand,iccworldcup,average,average,bad,clear,medium,not,batting in middle bowling in middle and last order,1wicket,
,29\jun\19,odi,afghanistan,afghanistan,pakistan,afghanistan,iccworldcup,good,average,bad,clear,dry,in,batting in middle bowling in middle and last order,2wickets,
,5\july\19,odi,bangladesh,pakistan,bangladesh,pakistan,iccworldcup,average,average,good,cloudy,medium,not,batting in middle bowling in middle and last order,1wicket,
,30sep\19,odi,srilanka,pakistan,srilanka,pakistan,pakistan,average,bad,average,clear,dry,in,batting in middle bowling in middle and last order,1wickets,
